"","issue_d","loan_amnt","term","int_rate","grade","sub_grade","emp_length","home_ownership","annual_inc","installment","delinq_2yrs","application_type","loan_status"
"1",2015-09-01,20000,3,12.29,"C","C1",1,"OWN",65000,0.123149538461538,0,"INDIVIDUAL",0
"2",2015-09-01,11000,3,12.69,"C","C2",7,"MORTGAGE",40000,0.1107,0,"INDIVIDUAL",0
"3",2015-09-01,7000,3,9.99,"B","B3",6,"MORTGAGE",32000,0.08469,0,"INDIVIDUAL",0
"4",2015-09-01,10000,3,10.99,"B","B4",10,"MORTGAGE",48000,0.081835,0,"INDIVIDUAL",0
"5",2015-08-01,5000,3,9.99,"B","B3",2,"RENT",21000,0.0921828571428571,0,"INDIVIDUAL",0
"6",2015-08-01,24000,5,14.65,"C","C5",10,"MORTGAGE",70000,0.0971245714285714,0,"INDIVIDUAL",0
"7",2015-08-01,15000,5,10.99,"B","B4",10,"RENT",74800,0.0523106951871658,0,"INDIVIDUAL",0
"8",2015-08-01,24650,5,17.57,"D","D4",8,"MORTGAGE",56048,0.132786183271482,0,"INDIVIDUAL",0
"9",2015-08-01,12000,3,12.69,"C","C2",9,"RENT",120000,0.040254,0,"INDIVIDUAL",0
"10",2015-08-01,15000,5,18.25,"E","E1",8,"MORTGAGE",150000,0.030636,0,"INDIVIDUAL",0
"11",2015-08-01,5000,3,7.89,"A","A5",4,"MORTGAGE",50000,0.0375432,0,"INDIVIDUAL",0
"12",2015-08-01,20400,5,16.99,"D","D3",8,"MORTGAGE",58500,0.103977435897436,0,"INDIVIDUAL",0
"13",2015-08-01,4000,3,13.99,"C","C4",2,"RENT",49403,0.0332044612675344,0,"INDIVIDUAL",0
"14",2015-08-01,13675,5,20.99,"E","E5",0,"MORTGAGE",54000,0.0821955555555555,2,"INDIVIDUAL",0
"15",2015-08-01,20000,3,7.89,"A","A5",10,"OWN",105000,0.0715108571428571,1,"INDIVIDUAL",0
"16",2015-08-01,8500,3,11.53,"B","B5",10,"MORTGAGE",42000,0.08012,2,"INDIVIDUAL",0
"17",2015-08-01,1875,3,18.25,"E","E1",9,"OWN",44000,0.0185536363636364,2,"INDIVIDUAL",0
"18",2015-08-01,7300,3,6.24,"A","A2",6,"OWN",82720,0.0323326885880077,0,"INDIVIDUAL",0
"19",2015-08-01,18000,5,17.86,"D","D5",3,"RENT",102000,0.0536141176470588,0,"INDIVIDUAL",0
"20",2015-08-01,12000,5,18.55,"E","E2",4,"RENT",25000,0.1479984,0,"INDIVIDUAL",0
"21",2015-08-01,7800,3,6.24,"A","A2",10,"OWN",145800,0.0196008230452675,0,"INDIVIDUAL",0
"22",2015-08-01,1000,3,19.19,"E","E3",9,"RENT",32000,0.013785,0,"INDIVIDUAL",0
"23",2015-08-01,7000,3,12.69,"C","C2",1,"RENT",60800,0.0463460526315789,0,"INDIVIDUAL",0
"24",2015-08-01,2200,3,18.25,"E","E1",0,"OWN",36000,0.0266066666666667,0,"INDIVIDUAL",0
"25",2015-08-01,11050,5,25.78,"F","F5",1,"RENT",57000,0.0693494736842105,1,"INDIVIDUAL",0
"26",2015-08-01,3000,3,14.65,"C","C5",10,"RENT",40000,0.031047,1,"INDIVIDUAL",0
"27",2015-08-01,5000,3,16.55,"D","D2",0,"RENT",38480,0.0552442827442828,0,"INDIVIDUAL",0
"28",2015-08-01,10000,5,8.18,"B","B1",3,"RENT",80000,0.0305445,0,"INDIVIDUAL",0
"29",2015-08-01,8175,3,19.19,"E","E3",0,"OWN",95000,0.0379515789473684,0,"INDIVIDUAL",0
"30",2015-08-01,5650,3,18.25,"E","E1",10,"MORTGAGE",25000,0.0983904,0,"INDIVIDUAL",0
"31",2015-08-01,28000,5,9.17,"B","B2",8,"MORTGAGE",120000,0.058355,0,"INDIVIDUAL",0
"32",2015-08-01,4050,3,17.57,"D","D4",0,"RENT",45000,0.0388133333333333,0,"INDIVIDUAL",0
"33",2015-08-01,11525,3,25.78,"F","F5",1,"RENT",80000,0.06945,1,"INDIVIDUAL",0
"34",2015-08-01,25275,5,27.31,"G","G2",10,"RENT",65000,0.143350153846154,0,"INDIVIDUAL",0
"35",2015-08-01,32000,5,21.99,"F","F1",2,"RENT",64000,0.165680625,0,"INDIVIDUAL",0
"36",2015-07-01,24000,5,17.86,"D","D5",7,"MORTGAGE",50000,0.1458288,0,"INDIVIDUAL",0
"37",2015-07-01,3500,3,8.18,"B","B1",0,"RENT",32000,0.04123875,0,"INDIVIDUAL",0
"38",2015-07-01,11825,3,19.19,"E","E3",10,"OWN",80904,0.0644615840996737,0,"INDIVIDUAL",0
"39",2015-07-01,8400,3,9.99,"B","B3",3,"RENT",48000,0.0677525,1,"INDIVIDUAL",0
"40",2015-07-01,19425,5,28.99,"G","G5",10,"RENT",54000,0.136993333333333,0,"INDIVIDUAL",0
"41",2015-07-01,20000,3,10.99,"B","B4",7,"MORTGAGE",140000,0.0561154285714286,1,"INDIVIDUAL",0
"42",2015-07-01,5600,3,19.99,"E","E4",1,"RENT",32500,0.0768332307692308,0,"INDIVIDUAL",0
"43",2015-07-01,4000,3,18.55,"E","E2",10,"RENT",52000,0.0336276923076923,2,"INDIVIDUAL",0
"44",2015-07-01,18775,5,16.99,"D","D3",0,"OWN",52000,0.107656153846154,0,"INDIVIDUAL",0
"45",2015-07-01,16000,5,10.99,"B","B4",3,"RENT",50000,0.083472,0,"INDIVIDUAL",0
"46",2015-07-01,8000,3,8.18,"B","B1",8,"MORTGAGE",130000,0.0232024615384615,0,"INDIVIDUAL",0
"47",2015-07-01,20000,5,18.25,"E","E1",5,"OWN",50000,0.122544,0,"INDIVIDUAL",0
"48",2015-07-01,4875,3,16.55,"D","D2",10,"MORTGAGE",53000,0.0391064150943396,0,"INDIVIDUAL",0
"49",2015-07-01,6000,3,11.53,"B","B5",3,"RENT",25000,0.095016,0,"INDIVIDUAL",0
"50",2015-07-01,18275,3,16.99,"D","D3",5,"MORTGAGE",50000,0.1563528,0,"INDIVIDUAL",0
"51",2015-07-01,24000,3,6.24,"A","A2",10,"MORTGAGE",135000,0.0651324444444445,0,"INDIVIDUAL",0
"52",2015-07-01,23100,5,13.99,"C","C4",4,"RENT",67335,0.0957683225662731,1,"INDIVIDUAL",0
"53",2015-07-01,2400,3,17.57,"D","D4",4,"RENT",55000,0.0188181818181818,0,"INDIVIDUAL",0
"54",2015-07-01,7500,3,12.29,"C","C1",7,"MORTGAGE",40000,0.075045,0,"INDIVIDUAL",0
"55",2015-07-01,12000,3,13.99,"C","C4",8,"MORTGAGE",55000,0.089472,0,"INDIVIDUAL",0
"56",2015-07-01,2425,3,13.99,"C","C4",10,"RENT",50000,0.0198888,0,"INDIVIDUAL",0
"57",2015-07-01,32000,5,27.31,"G","G2",10,"MORTGAGE",80000,0.1474605,1,"INDIVIDUAL",0
"58",2015-07-01,5000,3,6.24,"A","A2",10,"MORTGAGE",82450,0.0222185567010309,0,"INDIVIDUAL",0
"59",2015-07-01,35000,5,26.77,"G","G1",3,"RENT",160000,0.0797955,0,"INDIVIDUAL",0
